date,day,waitTime
6/2/2017,Friday,90
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,150
6/2/2017,Friday,150
6/2/2017,Friday,150
6/2/2017,Friday,150
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,115
6/2/2017,Friday,115
6/2/2017,Friday,115
6/2/2017,Friday,135
6/2/2017,Friday,135
6/2/2017,Friday,135
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,90
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,120
6/2/2017,Friday,120
6/3/2017,Saturday,90
6/3/2017,Saturday,90
6/3/2017,Saturday,90
6/3/2017,Saturday,150
6/3/2017,Saturday,200
6/3/2017,Saturday,200
